analysis,metric,interface,group_cluster_ci_low,group_cluster_ci_high,pair_bootstrap_ci_low,pair_bootstrap_ci_high,group_cluster_excludes_zero,pair_bootstrap_excludes_zero,decision_agrees,group_cluster_width,pair_bootstrap_width,width_ratio_group_over_pair,scope,model_alias,comparison,statistic
factorial,extraction_identifier_margin_gain,,0.555868280449694,0.5638484193662594,0.5565726654673064,0.5629593910787393,True,True,True,0.0079801389165653,0.0063867256114328,1.2494882983981903,competence_gated,llama3_1_8b_instruct,,
factorial,extraction_row_margin_gain,,0.086867231159726,0.0894453599557426,0.0870892616471758,0.0891721576659215,True,True,True,0.0025781287960166,0.0020828960187457,1.2377616418745565,competence_gated,llama3_1_8b_instruct,,
factorial,identifier_minus_semantics,,0.4764925263332247,0.4872896643497513,0.4773198279103746,0.4861105949307481,True,True,True,0.0107971380165265,0.0087907670203735,1.228236170006907,competence_gated,llama3_1_8b_instruct,,
factorial,identifier_minus_row,,0.4681920198187795,0.4752890978425978,0.4688036418209473,0.4744899561145791,True,True,True,0.0070970780238183,0.0056863142936318,1.2480980926021692,competence_gated,llama3_1_8b_instruct,,
factorial,semantic_margin_gain,,0.3353721641987551,0.3545583244288042,0.3362515284857224,0.3536741796792263,True,True,True,0.0191861602300491,0.0174226511935039,1.1012193274696755,competence_gated,mistral7b_instruct_v03,,
factorial,extraction_identifier_margin_gain,,2.0056547709346777,2.0262661151557086,2.00777555002964,2.024317701018992,True,True,True,0.0206113442210309,0.0165421509893519,1.2459893658508063,competence_gated,mistral7b_instruct_v03,,
factorial,extraction_row_margin_gain,,0.1554408491999407,0.1615317382292997,0.1557808353018666,0.1612570749211405,True,True,True,0.006090889029359,0.0054762396192739,1.1122393198284892,competence_gated,mistral7b_instruct_v03,,
factorial,identifier_minus_semantics,,1.6603277692381453,1.681634313295759,1.6618024229678132,1.6803302282866626,True,True,True,0.0213065440576136,0.0185278053188493,1.1499766805050229,competence_gated,mistral7b_instruct_v03,,
factorial,identifier_minus_row,,1.846790472381178,1.8679179701892987,1.8494517381569104,1.865852826134494,True,True,True,0.0211274978081206,0.0164010879775835,1.2881766037104958,competence_gated,mistral7b_instruct_v03,,
factorial,semantic_margin_gain,,2.1614744525324574,2.2388205503790024,2.16844968506085,2.2333279843626825,True,True,True,0.077346097846545,0.0648782993018324,1.1921720926547228,competence_gated,qwen2_5_7b_instruct,,
factorial,extraction_identifier_margin_gain,,1.533001753807993,1.5584206302797832,1.5353698497118369,1.5562215912956834,True,True,True,0.0254188764717901,0.0208517415838465,1.2190289415192914,competence_gated,qwen2_5_7b_instruct,,
factorial,extraction_row_margin_gain,,1.208739488853565,1.2394852677486623,1.2109375862213825,1.237398226597913,True,True,True,0.0307457788950975,0.0264606403765306,1.1619438705031362,competence_gated,qwen2_5_7b_instruct,,
factorial,identifier_minus_semantics,,-0.6927093386382639,-0.6164648262973317,-0.6857426057291759,-0.6243445955588945,True,True,True,0.0762445123409322,0.0613980101702813,1.2418075460340745,competence_gated,qwen2_5_7b_instruct,,
factorial,identifier_minus_row,,0.3049648927463382,0.3381485785446833,0.3083205199545054,0.3351998816088994,True,True,True,0.033183685798345,0.026879361654394,1.234541438335103,competence_gated,qwen2_5_7b_instruct,,
readout_geometry,,,0.1997934290638643,0.2101178802254187,0.2009989750355762,0.2089101635509729,True,True,True,0.0103244511615543,0.0079111885153967,1.3050442599694096,,,projection_minus_residual,paired_difference
readout_geometry,,,0.2078560254607872,0.2180871308275194,0.2090334806293711,0.2169122472187239,True,True,True,0.0102311053667322,0.0078787665893528,1.298566882354181,,,raw_minus_residual,paired_difference
readout_geometry,,,0.1912431869567429,0.203739180951796,0.1930642192500159,0.2019991950112716,True,True,True,0.0124959939950531,0.0089349757612557,1.398548169457697,,,projection_minus_subspace_random,paired_difference
readout_geometry,,,0.9582611818963612,0.9671082718732364,0.9589775969481404,0.966180660815669,True,True,True,0.008847089976875,0.0072030638675285,1.2282398351009656,,,projection_retention_ratio,ratio_of_balanced_means
readout_geometry,,,0.0060474216667057,0.0133835778909706,0.0061657393610884,0.0131734498424578,True,True,True,0.0073361562242648,0.0070077104813694,1.0468691941210482,,,residual_retention_ratio,ratio_of_balanced_means
