model_alias,model_name,mapping_name,mapping_family,mode,mean_semantic_prob_gain,mean_original_letter_prob_gain,mean_semantic_minus_original_prob_gain_moved,mean_js_shift
gemma2_9b_it,google/gemma-2-9b-it,permutation_normal_expected_taboo,semantic_words,unembedding_difference_norm_matched,-0.0608325913005198,0.1590939527377486,-0.2199265440382684,0.0624797849787428
gemma2_9b_it,google/gemma-2-9b-it,permutation_normal_taboo_expected,semantic_words,mean_local_gradient_norm_matched,0.1529205206788901,0.4428781047463417,-0.4009893200042522,0.2798759617937083
gemma2_9b_it,google/gemma-2-9b-it,permutation_normal_taboo_expected,semantic_words,rank1_local_gradient_norm_matched,0.1631685719039524,0.4132648433248202,-0.3422273062024032,0.2699506867041628
gemma2_9b_it,google/gemma-2-9b-it,permutation_normal_taboo_expected,semantic_words,unembedding_difference_norm_matched,0.0330332806333899,0.1812189991275469,-0.2172144685561458,0.0705468557999267
gemma2_9b_it,google/gemma-2-9b-it,permutation_taboo_expected_normal,semantic_words,mean_local_gradient_norm_matched,-0.0207710864876086,0.46982976483802,-0.6927019742239887,0.2833974945826744
gemma2_9b_it,google/gemma-2-9b-it,permutation_taboo_expected_normal,semantic_words,rank1_local_gradient_norm_matched,-0.0220327165249424,0.4493102735529343,-0.6545689936998921,0.2719189496679104
gemma2_9b_it,google/gemma-2-9b-it,permutation_taboo_expected_normal,semantic_words,unembedding_difference_norm_matched,-0.0529986688246329,0.1344599593430757,-0.247697257126371,0.0617181030332867
gemma2_9b_it,google/gemma-2-9b-it,reversed_expected_normal_taboo,semantic_words,mean_local_gradient_norm_matched,-0.0115247626769511,0.3907202387539049,-0.6052761256675391,0.2153407102505485
gemma2_9b_it,google/gemma-2-9b-it,reversed_expected_normal_taboo,semantic_words,rank1_local_gradient_norm_matched,-0.015631014054937,0.3803566701244563,-0.5952204437544424,0.2061293233493874
gemma2_9b_it,google/gemma-2-9b-it,reversed_expected_normal_taboo,semantic_words,unembedding_difference_norm_matched,0.0201219333830522,0.1416844438451031,-0.1697124923084629,0.0556393330906016
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,canonical_taboo_normal_expected,semantic_words,mean_local_gradient_norm_matched,0.6658866312354803,0.6658866312354803,,0.404481582649912
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,canonical_taboo_normal_expected,semantic_words,rank1_local_gradient_norm_matched,0.6645113509148359,0.6645113509148359,,0.4018829423684871
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,canonical_taboo_normal_expected,semantic_words,unembedding_difference_norm_matched,0.4218896734528243,0.4218896734528243,,0.2127852982034617
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_expected_taboo_normal,semantic_words,mean_local_gradient_norm_matched,-0.1867708885896112,0.4786471814344016,-0.6654180700240128,0.2810250106226207
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_expected_taboo_normal,semantic_words,rank1_local_gradient_norm_matched,-0.1839396188482472,0.4728206684618878,-0.656760287310135,0.2766088730020225
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_expected_taboo_normal,semantic_words,unembedding_difference_norm_matched,-0.1425072889930258,0.2919344296484875,-0.4344417186415133,0.1520219536183172
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_normal_expected_taboo,semantic_words,mean_local_gradient_norm_matched,-0.2590448777945464,0.5465600089325259,-0.8056048867270723,0.3226627241129344
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_normal_expected_taboo,semantic_words,rank1_local_gradient_norm_matched,-0.2582345808459649,0.5434054455254227,-0.8016400263713876,0.3201501569106085
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_normal_expected_taboo,semantic_words,unembedding_difference_norm_matched,-0.1554261132938942,0.341176668414846,-0.4966027817087403,0.168830151260869
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_normal_taboo_expected,semantic_words,mean_local_gradient_norm_matched,0.0459323735105196,0.5436059735172117,-0.7756140871918736,0.322972415260134
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_normal_taboo_expected,semantic_words,rank1_local_gradient_norm_matched,0.0434547834715886,0.5400119425806528,-0.7746478770626103,0.3203255904181415
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_normal_taboo_expected,semantic_words,unembedding_difference_norm_matched,0.0731918759993277,0.3629663687509795,-0.4254575280356221,0.1916636922155711
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_taboo_expected_normal,semantic_words,mean_local_gradient_norm_matched,0.0770900223318828,0.603185547903801,-0.7930901573047322,0.3554507138200165
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_taboo_expected_normal,semantic_words,rank1_local_gradient_norm_matched,0.0748027341143332,0.6015177180524915,-0.7967087171259853,0.3524184867323392
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_taboo_expected_normal,semantic_words,unembedding_difference_norm_matched,-0.0422993321893348,0.4149328208683679,-0.6866883951151976,0.2015368741657214
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,reversed_expected_normal_taboo,semantic_words,mean_local_gradient_norm_matched,0.0419328297519617,0.5635603674842665,-0.7886361367037958,0.3185270854483498
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,reversed_expected_normal_taboo,semantic_words,rank1_local_gradient_norm_matched,0.0465598030554398,0.5608454752558222,-0.7736688834716764,0.3160593655663793
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,reversed_expected_normal_taboo,semantic_words,unembedding_difference_norm_matched,0.0520616592572575,0.3570384938114633,-0.4450998549849221,0.1586003507738081
