model_alias,model_name,mapping_name,mapping_family,mode,n_pairs,n_pair_types,n_pairs_with_moved_targets,semantic_accuracy_gain_mean,semantic_accuracy_gain_ci_low,semantic_accuracy_gain_ci_high,semantic_accuracy_gain_n,original_letter_accuracy_gain_mean,original_letter_accuracy_gain_ci_low,original_letter_accuracy_gain_ci_high,original_letter_accuracy_gain_n,semantic_prob_gain_mean,semantic_prob_gain_ci_low,semantic_prob_gain_ci_high,semantic_prob_gain_n,original_letter_prob_gain_mean,original_letter_prob_gain_ci_low,original_letter_prob_gain_ci_high,original_letter_prob_gain_n,moved_semantic_accuracy_gain_mean,moved_semantic_accuracy_gain_ci_low,moved_semantic_accuracy_gain_ci_high,moved_semantic_accuracy_gain_n,moved_original_letter_accuracy_gain_mean,moved_original_letter_accuracy_gain_ci_low,moved_original_letter_accuracy_gain_ci_high,moved_original_letter_accuracy_gain_n,moved_semantic_prob_gain_mean,moved_semantic_prob_gain_ci_low,moved_semantic_prob_gain_ci_high,moved_semantic_prob_gain_n,moved_original_letter_prob_gain_mean,moved_original_letter_prob_gain_ci_low,moved_original_letter_prob_gain_ci_high,moved_original_letter_prob_gain_n,semantic_minus_original_prob_gain_moved_mean,semantic_minus_original_prob_gain_moved_ci_low,semantic_minus_original_prob_gain_moved_ci_high,semantic_minus_original_prob_gain_moved_n,semantic_minus_original_accuracy_gain_moved_mean,semantic_minus_original_accuracy_gain_moved_ci_low,semantic_minus_original_accuracy_gain_moved_ci_high,semantic_minus_original_accuracy_gain_moved_n,js_shift_mean,js_shift_ci_low,js_shift_ci_high,js_shift_n
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,canonical_taboo_normal_expected,semantic_words,unembedding_difference_norm_matched,384,3,0,0.1484375,0.1223958333333333,0.1744791666666666,384,0.1484375,0.1236979166666666,0.17578125,384,0.0923263529936472,0.0897984194258848,0.0948660540084044,384,0.0923263529936472,0.0897542126476764,0.094917524109284,384,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.0102870864426662,0.0099878751329661,0.0105945660793449,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_taboo_expected_normal,semantic_words,mean_local_gradient_norm_matched,384,3,384,0.03125,0.00390625,0.05859375,384,0.6276041666666666,0.5989583333333334,0.6549479166666666,384,-0.0022564729054768,-0.0094572658340136,0.0051175574461619,384,0.4215453068415324,0.4128930211067199,0.430181925992171,384,-0.24609375,-0.28125,-0.2122395833333333,384,0.6666666666666666,0.6276041666666667,0.7057291666666666,384,-0.1676056186358133,-0.1772917963564396,-0.1584366050859292,384,0.4473449389139811,0.4316012322902679,0.4621200948953629,384,-0.6149505575497946,-0.6276301334301632,-0.6017980337142944,384,-0.9127604166666666,-0.9700520833333331,-0.8541666666666666,384,0.1470219223058101,0.1419677664271215,0.1522462767752817,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_taboo_expected_normal,semantic_words,rank1_local_gradient_norm_matched,384,3,384,0.03125,0.0026041666666666,0.0598958333333333,384,0.62890625,0.6002604166666667,0.65625,384,-0.0040371616681416,-0.0116800618668397,0.0035344973206519,384,0.4205433130264282,0.411616579691569,0.4289852152268091,384,-0.24609375,-0.2825520833333333,-0.2122395833333333,384,0.66796875,0.62890625,0.7057291666666666,384,-0.168029507001241,-0.1773951378961404,-0.1584415259460608,384,0.4491276741027832,0.4344387263059616,0.464068000515302,384,-0.6171571811040243,-0.6302037311096985,-0.6045606779555479,384,-0.9140625,-0.9739583333333331,-0.8567708333333333,384,0.1464571530304303,0.141308475781101,0.1515454831659346,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_taboo_expected_normal,semantic_words,unembedding_difference_norm_matched,384,3,384,-0.0807291666666666,-0.1041666666666666,-0.0572916666666666,384,0.1731770833333333,0.1484375,0.1992187499999999,384,-0.0101155241330464,-0.0124615068236986,-0.007822547852993,384,0.0895374218622843,0.0872751757502555,0.0917505567272504,384,-0.1315104166666666,-0.1614583333333333,-0.1028645833333333,384,0.2252604166666666,0.1888020833333333,0.2643229166666666,384,-0.0321180423100789,-0.0347432931264241,-0.029463188846906,384,0.0987865130106608,0.0958869795004526,0.1015680780013402,384,-0.1309045553207397,-0.1350984394550323,-0.1266970922549565,384,-0.3567708333333333,-0.4192708333333333,-0.2955729166666667,384,0.0096427414546336,0.0093944928061883,0.0098894337794506,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_taboo_expected,semantic_words,mean_local_gradient_norm_matched,384,3,384,0.1809895833333333,0.1510416666666666,0.2109375,384,0.4440104166666667,0.4166666666666666,0.4739583333333333,384,0.0785288605839014,0.0696568127876768,0.0875774926661203,384,0.3574455827474594,0.349252538010478,0.3655276215324799,384,-0.0690104166666666,-0.109375,-0.0299479166666666,384,0.2643229166666667,0.2278645833333333,0.3020833333333333,384,-0.0575398833801349,-0.0698153019417077,-0.0445714363052199,384,0.3194993734359741,0.308776119351387,0.3300228377183278,384,-0.377039256816109,-0.3944540481238315,-0.3598775619330505,384,-0.3333333333333333,-0.40234375,-0.265625,384,0.1278958776983383,0.1236691056679638,0.1321310867429606,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_taboo_expected,semantic_words,rank1_local_gradient_norm_matched,384,3,384,0.1809895833333333,0.1510416666666666,0.2109700520833329,384,0.4401041666666667,0.4114583333333333,0.46875,384,0.079817669155697,0.0705621728751187,0.0893470857059583,384,0.3544806092977524,0.3462292761852343,0.3631608441472053,384,-0.0690104166666666,-0.109375,-0.02734375,384,0.2604166666666667,0.2239583333333333,0.2981770833333333,384,-0.0552481471871336,-0.0678710863071804,-0.0427245520986616,384,0.315708835919698,0.3048734039068222,0.326639715830485,384,-0.3709569831068317,-0.3891522251690427,-0.353443189136063,384,-0.3294270833333333,-0.3984375,-0.2643229166666666,384,0.1270796202462684,0.1227683928421225,0.1314315834167338,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_taboo_expected,semantic_words,unembedding_difference_norm_matched,384,3,384,0.0377604166666666,0.0169270833333333,0.0598958333333333,384,0.11328125,0.0924479166666666,0.13671875,384,0.0113559104502201,0.0088804063697655,0.0138491482473909,384,0.0880747487147649,0.0854705923547347,0.0908354257543881,384,-0.0026041666666666,-0.0247395833333333,0.01953125,384,0.0885416666666666,0.0638020833333333,0.1145833333333333,384,-0.0099284164607524,-0.0128378013459344,-0.0070059374285241,384,0.0915697813034057,0.0878271927436192,0.0954722811778386,384,-0.1014981977641582,-0.1070440005200604,-0.0956579447103043,384,-0.0911458333333333,-0.1302083333333333,-0.0546549479166671,384,0.0097729963681693,0.0094699996781708,0.0100891288067355,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_expected_taboo,semantic_words,mean_local_gradient_norm_matched,384,3,384,-0.2005208333333333,-0.2278645833333333,-0.1731770833333333,384,0.4934895833333333,0.4609375,0.5260416666666666,384,-0.1569936666637659,-0.166078843936945,-0.1481144420336932,384,0.3451155523459117,0.3365061767399311,0.3536818658312161,384,-0.2005208333333333,-0.2278645833333333,-0.1731770833333333,384,0.4934895833333333,0.4609375,0.5260416666666666,384,-0.1569936666637659,-0.1662714759198328,-0.1481021886225789,384,0.3451155523459117,0.3363787166774272,0.3538333617150783,384,-0.5021092190096775,-0.5170113863423467,-0.4883316119046261,384,-0.6940104166666666,-0.7474283854166666,-0.6432291666666666,384,0.1107853722394208,0.1066587236255433,0.1148965027366416,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_expected_taboo,semantic_words,rank1_local_gradient_norm_matched,384,3,384,-0.1979166666666666,-0.2252604166666666,-0.1705729166666666,384,0.48828125,0.4557291666666666,0.5208333333333334,384,-0.1560063368330399,-0.1650667901616543,-0.1472028421858946,384,0.3409527639547984,0.3326312211652596,0.3496562838554382,384,-0.1979166666666666,-0.2252604166666666,-0.1705729166666666,384,0.48828125,0.4557291666666666,0.5221354166666666,384,-0.1560063368330399,-0.1649847039952874,-0.1472184143494815,384,0.3409527639547984,0.3322950815161069,0.3496528429289658,384,-0.4969591007878383,-0.5115719381098945,-0.4828740216481189,384,-0.6861979166666666,-0.7369791666666667,-0.6354166666666666,384,0.109433358753532,0.1055012115615763,0.1135399862346317,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_expected_taboo,semantic_words,unembedding_difference_norm_matched,384,3,384,-0.0546875,-0.0755208333333333,-0.0338541666666666,384,0.1145833333333333,0.09375,0.13671875,384,-0.0352643107374509,-0.0375011894231041,-0.0330873616039752,384,0.0727644066015879,0.0703947293261687,0.0750705967346827,384,-0.0546875,-0.0755208333333333,-0.0338541666666666,384,0.1145833333333333,0.09375,0.13671875,384,-0.0352643107374509,-0.0374775921925902,-0.0330308511853218,384,0.0727644066015879,0.0704203210771083,0.0750590483347574,384,-0.1080287173390388,-0.1121732009574771,-0.1039599419261018,384,-0.1692708333333333,-0.20703125,-0.1341145833333333,384,0.0069072900195701,0.0066972103724636,0.0071231744200056,384
