metric,model_alias,model_name,pair_type,interface,random_seed,n_pairs,mean_adjusted_gain,adjusted_gain_sd,positive_pair_rate,standardized_detectability
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_canonical,71,512,3.5739081700642905,1.0108998548747252,1.0,3.535373116170032
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_canonical,101,512,3.670679489771525,0.9890420701227396,1.0,3.7113481829099495
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_expected_taboo_normal,13,512,2.4812656243642173,0.6985937405979188,1.0,3.551800538952051
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_expected_taboo_normal,29,512,2.332335551579793,0.6933964927583882,1.0,3.363639095291023
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_expected_taboo_normal,47,512,2.277064879735311,0.6707911647289266,1.0,3.3945958138185905
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_expected_taboo_normal,71,512,2.2119282881418862,0.6103897853757848,1.0,3.623796369364403
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_expected_taboo_normal,101,512,2.236055056254069,0.6555094910916252,1.0,3.41117113732457
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_normal_expected_taboo,13,512,2.7280498345692954,0.8904301344233189,1.0,3.0637438346986072
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_normal_expected_taboo,29,512,2.558667659759521,0.8470856565141041,1.0,3.0205536359674148
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_normal_expected_taboo,47,512,2.553652763366699,0.857373319873224,1.0,2.978460729037261
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_normal_expected_taboo,71,512,2.4723924001057944,0.761275232546253,1.0,3.247698459644264
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_normal_expected_taboo,101,512,2.527817408243815,0.8666081313952475,1.0,2.916909404224034
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_normal_taboo_expected,13,512,2.666920026143392,0.9037273713243794,1.0,2.9510227428822016
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_normal_taboo_expected,29,512,2.489948590596517,0.8349359931708281,1.0,2.98220296042151
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_normal_taboo_expected,47,512,2.4408966700236,0.8286389948983487,1.0,2.945669567871388
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_normal_taboo_expected,71,512,2.393954912821452,0.8125315721409272,1.0,2.946291559494305
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_normal_taboo_expected,101,512,2.4547600746154785,0.8375107096121539,1.0,2.9310193248182617
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_taboo_expected_normal,13,512,3.726416031519572,0.9179056607958468,1.0,4.059693921365162
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_taboo_expected_normal,29,512,3.589616616566976,0.9026512188912998,1.0,3.9767482073264095
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_taboo_expected_normal,47,512,3.5578755537668862,0.9217533104108208,1.0,3.8598999467451423
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_taboo_expected_normal,71,512,3.4618478616078696,0.9287975537529974,1.0,3.727236196542037
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_permutation_taboo_expected_normal,101,512,3.483513911565145,0.909018631930326,1.0,3.832169978923103
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_reversed,13,512,2.8132404486338296,0.7159617313569588,1.0,3.9293167852727375
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_reversed,29,512,2.6787593364715576,0.7079207010309219,1.0,3.783982206722544
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_reversed,47,512,2.7337538401285806,0.710254752514194,1.0,3.848976484073506
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_reversed,71,512,2.5334559281667075,0.6758770790910662,1.0,3.7483974624109946
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_reversed,101,512,2.633099397023519,0.7023139590662325,1.0,3.749177078189331
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_canonical,13,512,1.285602609316508,0.3332463874204529,1.0,3.857814091453237
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_canonical,29,512,1.202269931634267,0.3526380146229825,1.0,3.409359971923774
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_canonical,47,512,1.3561266660690308,0.3598133108239806,1.0,3.7689730348315074
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_canonical,71,512,1.1453415552775066,0.3004396115122734,1.0,3.812218866588162
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_canonical,101,512,1.1582476894060771,0.3407871117203984,1.0,3.398742644810966
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_expected_taboo_normal,13,512,1.7480007025102775,0.5618135828248311,1.0,3.111353580526176
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_expected_taboo_normal,29,512,1.744043233493964,0.6170841572819719,1.0,2.8262648018316194
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_expected_taboo_normal,47,512,1.849518680324157,0.6035065160198668,1.0,3.0646208967580937
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_expected_taboo_normal,71,512,1.5593400845925014,0.5094943574376556,1.0,3.0605639921798558
