scope,identifier_set,component,metric,estimate,ci_low,ci_high,n_groups,n_unique_pairs,n_model_contrast_mapping_strata,confidence,n_boot,inference_unit
vocabulary_competence,numbers_123,residual,current_label_effect,0.011703488129811982,0.009766100640512698,0.013708937870984159,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,numbers_123,residual,id_advantage,0.08221494597382843,0.07851654925686864,0.08590124505235734,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_abc,raw,extraction_identifier_effect,2.944056597884553,2.9141601489672975,2.97380061983449,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_abc,raw,current_label_effect,0.9319233340688814,0.8720383499003006,0.9906648080593559,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_abc,raw,id_advantage,2.012133263815672,1.9370052883137578,2.088980890957843,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_abc,projection,extraction_identifier_effect,2.8467371952719986,2.8210803172317562,2.873063278097538,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_abc,projection,current_label_effect,0.6841202828292854,0.6307233466227571,0.7365494415789181,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_abc,projection,id_advantage,2.1626169124427133,2.095765114258334,2.229915446847102,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_abc,residual,extraction_identifier_effect,0.04476888593620597,0.03330023177883833,0.056349601597038265,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
common_competence,letters_abc,residual,current_label_effect,0.28246799064800143,0.27255755649429586,0.292617813122673,319,384,39,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
