model_alias,model_name,comparison,interface,mean_adjusted_gain,mean_paired_standardized_gain,median_paired_standardized_gain,min_paired_standardized_gain,max_paired_standardized_gain,mean_positive_pair_rate,n_positive_cells,n_model_contrast_seed_cells,n_contrasts,seed_sd_paired_standardized_gain,n_random_seeds,random_seed_aggregation,interface_label,comparison_label,model_label
gemma2_9b_it,google/gemma-2-9b-it,raw_minus_random,letter_reversed,-0.608126285341051,-0.3117447963289975,0.7411221522012694,-3.823463684167637,2.1530925481214243,0.5751302083333333,10,15,3,0.20100830304577086,5,equal_mean_over_five_draws,Reversed letters,Raw minus random,Gemma
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,raw_minus_random,direct_label_completion,0.7112522178226046,4.609910782769423,3.945208499423636,1.7667512352190429,8.634124959961596,1.0,15,15,3,0.4894358362164729,5,equal_mean_over_five_draws,Direct labels,Raw minus random,Llama
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,raw_minus_random,opaque_completion,0.30554257132656243,5.300404251817065,5.899358004971236,2.881658379054512,7.767611451928911,1.0,15,15,3,0.19044471316533987,5,equal_mean_over_five_draws,Opaque codewords,Raw minus random,Llama
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,raw_minus_random,letter_canonical,1.6826818909082146,4.465348294478503,3.9922782089217943,3.512566282925807,5.861555795242044,1.0,15,15,3,0.14405083728275922,5,equal_mean_over_five_draws,Original letters,Raw minus random,Llama
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,raw_minus_random,letter_reversed,-0.7165093003047838,-2.1313293550264762,-0.8476677854935282,-6.245364585705209,0.2230353518387267,0.24270833333333333,3,15,3,0.11804531662444352,5,equal_mean_over_five_draws,Reversed letters,Raw minus random,Llama
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,raw_minus_random,direct_label_completion,2.517201441526413,6.932133590196802,6.965331878330033,6.002169110325394,8.284000980229235,1.0,15,15,3,0.2699309977990552,5,equal_mean_over_five_draws,Direct labels,Raw minus random,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,raw_minus_random,opaque_completion,0.7248445677629206,4.0829550373137256,4.060318746241675,2.044934711056569,6.049254120991572,0.996484375,15,15,3,0.35538156414912264,5,equal_mean_over_five_draws,Opaque codewords,Raw minus random,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,raw_minus_random,letter_canonical,6.441232520341873,5.602980114415134,5.435149088752528,4.633521659297448,7.078089776286746,1.0,15,15,3,0.20255994931011834,5,equal_mean_over_five_draws,Original letters,Raw minus random,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,raw_minus_random,letter_reversed,-2.072694918844435,-0.8094282357017819,0.7408987076832225,-4.644708998800684,2.225899288926644,0.5319010416666666,10,15,3,0.29386727601862644,5,equal_mean_over_five_draws,Reversed letters,Raw minus random,Mistral
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,raw_minus_random,direct_label_completion,4.769674744167261,4.469188514771489,4.876985040838507,1.0309707986225014,7.465592793926985,0.9651041666666667,15,15,3,0.18076002914762856,5,equal_mean_over_five_draws,Direct labels,Raw minus random,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,raw_minus_random,opaque_completion,3.2258628178284403,5.333428197148335,3.939187123286009,3.704182407099068,8.766587272604463,1.0,15,15,3,0.128641242483551,5,equal_mean_over_five_draws,Opaque codewords,Raw minus random,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,raw_minus_random,letter_canonical,6.402373194259902,5.08596661379083,3.87394263546228,3.3133636079493805,8.33867870700087,1.0,15,15,3,0.20601747524481084,5,equal_mean_over_five_draws,Original letters,Raw minus random,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,raw_minus_random,letter_reversed,2.8887430376890633,3.2376790833079223,2.96529776931633,-0.0004224580074294,7.587783436854761,0.881640625,14,15,3,0.3528997730779697,5,equal_mean_over_five_draws,Reversed letters,Raw minus random,Qwen
