scope,model_alias,metric,mean,ci_low,ci_high,ci_excludes_zero,n_pairs,n_groups,n_model_contrast_strata,n_boot,confidence,selection_uses_steered_outcomes,inference_unit
all_six_abc_high_confidence,gemma2_9b_it,extraction_identifier_margin_gain,1.385487890302144,1.3692488457711331,1.402559040087566,True,70,64,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,gemma2_9b_it,extraction_row_margin_gain,0.0739591495656016,0.0643073729465007,0.0839696799683803,True,70,64,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,gemma2_9b_it,identifier_minus_semantics,0.6208695184412941,0.6062381899750553,0.634797276645096,True,70,64,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,gemma2_9b_it,identifier_minus_row,1.3115287407365426,1.2941874854861568,1.329325562819064,True,70,64,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,llama3_1_8b_instruct,semantic_margin_gain,0.1256195619261678,0.1077904941082924,0.1409524128074017,True,53,51,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,llama3_1_8b_instruct,extraction_identifier_margin_gain,0.5965593536797522,0.5796513822909087,0.61234730383462,True,53,51,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,llama3_1_8b_instruct,extraction_row_margin_gain,0.1000089845265802,0.0886375946844535,0.1094215715564967,True,53,51,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,llama3_1_8b_instruct,identifier_minus_semantics,0.4709397917535843,0.4499359490001777,0.494776444163202,True,53,51,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,llama3_1_8b_instruct,identifier_minus_row,0.4965503691531719,0.4857978078061499,0.5058811989622308,True,53,51,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,mistral7b_instruct_v03,semantic_margin_gain,0.5774101961507018,0.5416437350036902,0.7631494783440136,True,36,34,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,mistral7b_instruct_v03,extraction_identifier_margin_gain,2.071017712161934,2.022696221470848,2.360560573264384,True,36,34,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,mistral7b_instruct_v03,extraction_row_margin_gain,0.1265450678875277,0.1023423551567203,0.1822668935353278,True,36,34,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,mistral7b_instruct_v03,identifier_minus_semantics,1.4936075160112328,1.4451541046887206,1.593681106163711,True,36,34,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,mistral7b_instruct_v03,identifier_minus_row,1.9444726442744071,1.891453194369612,2.1701945172994974,True,36,34,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,qwen2_5_7b_instruct,semantic_margin_gain,2.6524184839844462,2.5631644695440623,2.741205037143833,True,81,74,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,qwen2_5_7b_instruct,extraction_identifier_margin_gain,1.7691758694553528,1.7305483667493262,1.8128397824766649,True,81,74,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,qwen2_5_7b_instruct,extraction_row_margin_gain,1.2879143757402365,1.2413326708701988,1.3333485235785905,True,81,74,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,qwen2_5_7b_instruct,identifier_minus_semantics,-0.8832426145290931,-0.9533483132172732,-0.8109824460238537,True,81,74,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,qwen2_5_7b_instruct,identifier_minus_row,0.4812614937151165,0.4314512985110872,0.5329730126737362,True,81,74,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
