model_alias,pair_type,layer_index,requested_layer_fraction,resolved_layer_fraction,raw_caa_l2,direction_l2,depth_norm_reference_layer_index,depth_norm_reference_fraction,depth_norm_target_l2,depth_norm_scale,norm_match_absolute_error
llama3_1_8b_instruct,taboo_vs_expected,16,0.5,0.5161290322580645,2.350347757339477,4.2283453941345215,23,0.75,4.2283453941345215,1.7990296886622772,0.0
llama3_1_8b_instruct,taboo_vs_expected,19,0.625,0.6129032258064516,3.318681478500366,4.2283453941345215,23,0.75,4.2283453941345215,1.274104014358501,0.0
llama3_1_8b_instruct,taboo_vs_expected,23,0.75,0.7419354838709677,4.2283453941345215,4.2283453941345215,23,0.75,4.2283453941345215,1.0,0.0
llama3_1_8b_instruct,taboo_vs_expected,27,0.875,0.8709677419354839,6.336460590362549,4.2283453941345215,23,0.75,4.2283453941345215,0.6673039836412193,0.0
llama3_1_8b_instruct,taboo_vs_normal,16,0.5,0.5161290322580645,2.2438511848449707,3.950884103775024,23,0.75,3.950884103775024,1.7607603081966392,0.0
llama3_1_8b_instruct,taboo_vs_normal,19,0.625,0.6129032258064516,3.104966878890991,3.950884103775024,23,0.75,3.950884103775024,1.2724400155875968,0.0
llama3_1_8b_instruct,taboo_vs_normal,23,0.75,0.7419354838709677,3.950884103775024,3.950884103775024,23,0.75,3.950884103775024,1.0,0.0
llama3_1_8b_instruct,taboo_vs_normal,27,0.875,0.8709677419354839,5.828941822052002,3.950884103775024,23,0.75,3.950884103775024,0.6778046898371972,0.0
mistral7b_instruct_v03,normal_vs_expected,16,0.5,0.5161290322580645,2.3160786628723145,4.870062828063965,23,0.75,4.870063304901123,2.1027193000696496,4.76837158203125e-07
mistral7b_instruct_v03,normal_vs_expected,19,0.625,0.6129032258064516,4.074841499328613,4.870063304901123,23,0.75,4.870063304901123,1.1951540460416763,0.0
mistral7b_instruct_v03,normal_vs_expected,23,0.75,0.7419354838709677,4.870063304901123,4.870063304901123,23,0.75,4.870063304901123,1.0,0.0
mistral7b_instruct_v03,normal_vs_expected,27,0.875,0.8709677419354839,6.084839344024658,4.870063304901123,23,0.75,4.870063304901123,0.8003602115943371,0.0
mistral7b_instruct_v03,taboo_vs_expected,16,0.5,0.5161290322580645,2.827723741531372,6.0675249099731445,23,0.75,6.0675249099731445,2.14572761152659,0.0
mistral7b_instruct_v03,taboo_vs_expected,19,0.625,0.6129032258064516,5.083096504211426,6.0675249099731445,23,0.75,6.0675249099731445,1.1936670698551768,0.0
mistral7b_instruct_v03,taboo_vs_expected,23,0.75,0.7419354838709677,6.0675249099731445,6.0675249099731445,23,0.75,6.0675249099731445,1.0,0.0
mistral7b_instruct_v03,taboo_vs_expected,27,0.875,0.8709677419354839,7.533839702606201,6.0675249099731445,23,0.75,6.0675249099731445,0.8053695259635255,0.0
mistral7b_instruct_v03,taboo_vs_normal,16,0.5,0.5161290322580645,2.6742897033691406,5.634232997894287,23,0.75,5.634232997894287,2.1068147518932343,0.0
mistral7b_instruct_v03,taboo_vs_normal,19,0.625,0.6129032258064516,4.739678859710693,5.634232997894287,23,0.75,5.634232997894287,1.1887372888884284,0.0
mistral7b_instruct_v03,taboo_vs_normal,23,0.75,0.7419354838709677,5.634232997894287,5.634232997894287,23,0.75,5.634232997894287,1.0,0.0
mistral7b_instruct_v03,taboo_vs_normal,27,0.875,0.8709677419354839,6.99310302734375,5.634232997894287,23,0.75,5.634232997894287,0.8056842543094043,0.0
qwen2_5_7b_instruct,normal_vs_expected,14,0.5,0.5185185185185185,3.724041700363159,30.727266311645508,20,0.75,30.72726821899414,8.251053745181665,1.9073486328125e-06
qwen2_5_7b_instruct,normal_vs_expected,17,0.625,0.6296296296296297,5.79681921005249,30.72726821899414,20,0.75,30.72726821899414,5.300711839642815,0.0
qwen2_5_7b_instruct,normal_vs_expected,20,0.75,0.7407407407407407,30.72726821899414,30.72726821899414,20,0.75,30.72726821899414,1.0,0.0
qwen2_5_7b_instruct,normal_vs_expected,24,0.875,0.8888888888888888,56.03411865234375,30.72726821899414,20,0.75,30.72726821899414,0.5483671191410612,0.0
qwen2_5_7b_instruct,taboo_vs_expected,14,0.5,0.5185185185185185,4.063580989837647,41.38787460327149,20,0.75,41.38787460327149,10.185074373262356,0.0
qwen2_5_7b_instruct,taboo_vs_expected,17,0.625,0.6296296296296297,6.6378254890441895,41.38787460327149,20,0.75,41.38787460327149,6.235155574906672,0.0
qwen2_5_7b_instruct,taboo_vs_expected,20,0.75,0.7407407407407407,41.38787460327149,41.38787460327149,20,0.75,41.38787460327149,1.0,0.0
qwen2_5_7b_instruct,taboo_vs_expected,24,0.875,0.8888888888888888,89.64324188232422,41.38787460327149,20,0.75,41.38787460327149,0.4616954243756808,0.0
qwen2_5_7b_instruct,taboo_vs_normal,14,0.5,0.5185185185185185,4.037274360656738,40.2932014465332,20,0.75,40.2932014465332,9.98029805434842,0.0
qwen2_5_7b_instruct,taboo_vs_normal,17,0.625,0.6296296296296297,6.542191028594971,40.2932014465332,20,0.75,40.2932014465332,6.15897659827074,0.0
qwen2_5_7b_instruct,taboo_vs_normal,20,0.75,0.7407407407407407,40.2932014465332,40.2932014465332,20,0.75,40.2932014465332,1.0,0.0
qwen2_5_7b_instruct,taboo_vs_normal,24,0.875,0.8888888888888888,81.54794311523438,40.2932014465332,20,0.75,40.2932014465332,0.4941044483439071,0.0
