requested_layer_fraction,mode,metric,mean,ci_low,ci_high,ci_excludes_zero,n_pairs,n_groups,n_strata,n_boot,confidence,inference_unit
0.75,raw_canonical_direction,source_interface_effect,0.3048954943621235,0.2937203866857004,0.3160085686826736,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,raw_canonical_direction,current_label_effect,0.0179175284247207,0.0121302108101616,0.0235784820919917,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,raw_canonical_direction,extraction_identifier_effect,0.2150571494322813,0.2099758295640272,0.2201488228271678,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,raw_canonical_direction,extraction_identifier_advantage,0.2359246909551681,0.2273692953486676,0.2443131191231869,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,readout_orthogonal_norm_matched,source_interface_effect,0.0022993398533799,0.0013190326865121,0.0033329463080917,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,readout_orthogonal_norm_matched,current_label_effect,0.0066426892054854,0.0057639849601117,0.0075438609565505,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,readout_orthogonal_norm_matched,extraction_identifier_effect,0.0025843767814687,0.0017468417479708,0.0034172680303753,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,readout_orthogonal_norm_matched,extraction_identifier_advantage,-0.0045980205070046,-0.0062689762551722,-0.002970809078732,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,readout_projection_norm_matched,source_interface_effect,0.5498931271067704,0.5342288881963143,0.5646510005634663,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,readout_projection_norm_matched,current_label_effect,0.0153999539011503,0.0044832217879856,0.0259436869103773,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,readout_projection_norm_matched,extraction_identifier_effect,0.3902192788023233,0.3852732933093039,0.39510608377271,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,readout_projection_norm_matched,extraction_identifier_advantage,0.4615477566197555,0.4470054815358527,0.4760655177388581,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,mean_local_gradient_norm_matched,source_interface_effect,0.5829853839629019,0.5672706245475279,0.5984711798731494,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,mean_local_gradient_norm_matched,current_label_effect,-0.0502745267581051,-0.0610474129980703,-0.0390787324490572,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,mean_local_gradient_norm_matched,extraction_identifier_effect,0.4481524070193056,0.4428875211554721,0.453449431286605,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,mean_local_gradient_norm_matched,extraction_identifier_advantage,0.6244545718615576,0.6093064962138509,0.6400785672197083,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
